split,model,canonical_perturbation,mse,mae,delta_pearson,cosine
train,control_only,CBL+PTPN9,0.005925975242235287,0.020779858814718177,,
train,control_only,CBL+TGFBR2,0.0037191413007415905,0.01549013553470003,,
train,control_only,CBL+UBASH3A,0.006506778257541764,0.023909312833889716,,
train,control_only,CBL+UBASH3B,0.010281474311514851,0.026083705451780653,,
train,control_only,CDKN1A+CDKN1B,0.0063371952051521725,0.02286998747404922,,
train,control_only,CDKN1A+CDKN1C,0.006118244057768391,0.022884294548358126,,
train,control_only,CDKN1B+CDKN1C,0.004838763776895879,0.020216131170622865,,
train,control_only,CEBPA+JUN,0.03920910168425147,0.06466753106058426,,
train,control_only,CEBPA+KLF1,0.019400416307543474,0.04381248576912501,,
train,control_only,CEBPB+FOSB,0.021833663304147027,0.047475133550211455,,
train,control_only,CEBPB+JUN,0.0138031752168846,0.038862670081908995,,
train,control_only,CEBPB+MAPK1,0.008457118732426622,0.026827643817334552,,
train,control_only,CEBPB+OSR2,0.011070438403191022,0.03498413321529779,,
train,control_only,CEBPB+PTPN12,0.0037110982734328136,0.017857866011490992,,
train,control_only,CEBPE+CNN1,0.0034500866018727975,0.017173792395777855,,
train,control_only,CEBPE+ETS2,0.007835394802809781,0.02552461753706396,,
